#,Date,Author,Publication,Title,First Paragraph,Anti-Semitic,Not Anti-Semitic,Anti-Israel,Anti-Palestinian,Not Anti-Palestinian,Anti-Hamas,Op-Ed,Anti-Semtic Reason1,Anti-Semtic Reason2,title_word_count,First_Para_word_count,Title_Sentiment,First800_Sentiment,Last4Sent_Sentiment,Netanyahu_FirstPara_Sentiment,Bibi_FirstPara_Sentiment,Hamas_FirstPara_Sentiment,Israel_FirstPara_Sentiment,Palestinian_FirstPara_Sentiment,Gaza_FirstPara_Sentiment,Ceasefire_FirstPara_Sentiment,Trump_FirstPara_Sentiment
1,45952,Bret Stephens,The New York Times,Why Mamdani Frightens Jews Like Me,"A recent Fox News poll found that 38 percent of Jewish New Yorkers intend to vote for Zohran Mamdani for mayor, setting aside whatever reservations they might have about the candidate’s views on Israel. At least a few of those voters will support the 34-year-old state assemblyman not despite those views, but because of them",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,55,0.112,0.653,0.653,0.5,0.5,0.5,0.585,0.5,0.5,0.5,0.5
2,45944,Bret Stephens,The New York Times,Why Israel Won the War,"Though it seems absurd in retrospect, there were many in Hamas who believed their massacre of Oct. 7, 2023, would succeed not just in wounding Israel but in destroying it.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,30,0.391,0.064,0.064,0.5,0.5,0.064,0.064,0.5,0.5,0.5,0.5
3,45937,Bret Stephens,The New York Times,What Israel Should Learn From Two Years of War,"Maya Angelou’s classic warning should have been believed in 1988, when Hamas declared in its founding covenant its intention to slaughter Jews. Instead, Israel continued to tolerate Hamas out of a combination of ideological convenience — it suited Benjamin Netanyahu, the Israeli prime minister, to have a divided Palestinian polity — and international reluctance to topple the group. That was until Oct. 7, 2023, too late for the 1,200 people slaughtered that day.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9,73,0.181,0.204,0.204,0.131,0.5,0.208,0.131,0.131,0.5,0.5,0.5
4,45909,Bret Stephens,The New York Times,Gesture Politics Won’t Help Palestinians,"This month, France, Canada, Australia and possibly Britain will recognize a Palestinian state at the United Nations General Assembly. Also, some 1,800 actors and filmmakers, including Mark Ruffalo and Cynthia Nixon, have signed a public letter pledging “not to screen films, appear at or otherwise work with Israeli film institutions.” And the government of Spain imposed an arms embargo on Israel.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5,61,0.059,0.475,0.475,0.5,0.5,0.5,0.142,0.564,0.5,0.5,0.5
5,45874,Bret Stephens,The New York Times,Where Can Gaza Go From Here?,"First and most obviously: The government of Israel needs to rush, in abundant quantities and to immediate and undeniable effect, food and medicine to the places in Gaza that desperately need them.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,32,0.29,0.349,0.349,0.5,0.5,0.5,0.349,0.5,0.349,0.5,0.5
6,45860,Bret Stephens,The New York Times,"No, Israel Is Not Committing Genocide in Gaza","It may seem harsh to say, but there is a glaring dissonance to the charge that Israel is committing genocide in Gaza. To wit: If the Israeli government’s intentions and actions are truly genocidal — if it is so malevolent that it is committed to the annihilation of Gazans — why hasn’t it been more methodical and vastly more deadly? Why not, say, hundreds of thousands of deaths, as opposed to the nearly 60,000 that Gaza’s Hamas-run Health Ministry, which does not distinguish between combatant and civilian deaths, has cited so far in nearly two years of war?",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,98,0.19,0.099,0.099,0.5,0.5,0.114,0.069,0.5,0.092,0.5,0.5
7,45846,Bret Stephens,The New York Times,"For Israel, It Pays to Be a Winner",A core misconception about Israel’s policy since Oct. 7 is that the country has favored military action at the expense of diplomacy. The truth is that it’s Israel’s decisive battlefield victories that have created diplomatic openings that have been out of reach for decades — and would have remained so if Israel hadn’t won.,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,54,0.686,0.256,0.256,0.5,0.5,0.5,0.256,0.5,0.5,0.5,0.5
8,45839,Bret Stephens,The New York Times,What ‘Globalize the Intifada’ Really Means,"Zohran Mamdani got three chances to repudiate the expression “globalize the intifada” in a weekend interview with NBC’s Kristen Welker. It would have been easy, and politically smart, for the Democratic candidate for New York mayor to say that he’d been educated about the phrase’s violent connotation and that he regretted not rejecting it sooner. Instead, he ducked each time, saying that although he does not use those words himself, he would decline to “police” the language of others.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6,79,0.286,0.339,0.339,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
9,45821,Bret Stephens,The New York Times,Israel Had the Courage to Do What Needed to Be Done,"It may be months or years before we’ll know the full results of Israel’s attack on Iranian nuclear and military targets, which began early Friday morning and could last for days or weeks. But critics of the strike — and already they are vocal — might at least ask themselves whether Israel had any realistic alternative against an adversary that has repeatedly vowed to wipe it off the map.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,11,69,0.647,0.157,0.157,0.5,0.5,0.5,0.157,0.5,0.5,0.5,0.5
10,45748,Bret Stephens,The New York Times,Here Is the Real Route to Freeing Palestinians,"The world should remember the name of Odai Al-Rubai. The 22-year-old Palestinian man joined protests in Gaza last week to demand an end to 18 years of Hamas’s violent misrule in the territory. Demonstrators could be heard shouting, “Out, out, Hamas, get out” and “Hamas are terrorists,” while displaying banners saying, “Hamas does not represent us.” In retaliation, Al-Rubai’s family says, he was kidnapped, tortured and murdered by members of Hamas’s Qassam Brigades. Then his body was dumped in front of the family home.",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,8,84,0.485,0.285,0.285,0.5,0.5,0.079,0.5,0.226,0.226,0.5,0.5
